地區,姓名,地區排序,得票數,推薦政黨,得票率,當選註記,是否現任,委員會,性別,出生年次,捐贈企業數,總收入,個人捐贈收入,個人捐贈比例,營利事業捐贈收入,營利事業捐贈比例,政黨捐贈收入,政黨捐贈收入比例,人民團體捐贈收入,人民團體收入比例,匿名捐贈收入,匿名捐贈比例,其他收入,其他收入比例,超過三萬元之收入,總支出
嘉義市第01選區,翁壽良,12,12202,無黨籍,8.90%,,否,,男,1969,9,6906648,"4,374,648",63.34%,2230000,32.29%,0,0.00%,"300,000",4.34%,"2,000",0.03%,0,0.02%,"6,636,168","6,963,174"
新北市第08選區,張慶忠,3,75738,中國國民黨,40.42%,,是,,男,1951,13,3774045,"1,313,000",34.79%,2191000,58.05%,0,0.00%,"270,000",7.15%,0,0.00%,45,0.00%,"3,560,000","10,198,854"
臺北市第03選區,李晏榕,2,23706,綠黨社會民主黨聯盟,12.34%,,否,,女,1980,12,4143560,"1,992,673",48.09%,2142600,51.71%,0,0.00%,"6,300",0.15%,"1,516",0.04%,471,0.01%,"3,697,000","5,356,812"
山原原住民,孔文吉,24,20105,中國國民黨,17.79%,*,是,經濟,男,1957,6,8581591,"940,000",10.95%,2140000,24.94%,"5,500,000",64.09%,0,0.00%,0,0.00%,"1,591",0.00%,"8,280,000","8,672,864"
金門縣第01選區,楊鎮浯,21,16350,中國國民黨,45.08%,*,否,司法法制,男,1972,2,8572853,"900,000",10.50%,2100000,24.50%,"5,500,000",64.16%,"50,000",0.58%,"20,000",0.23%,"2,853",0.03%,"8,530,000","13,939,418"
平原原住民,鄭天財,23,26979,中國國民黨,28.51%,*,是,內政,男,1956,11,11168024,"3,629,900",32.50%,2033000,18.20%,"5,500,000",49.25%,0,0.00%,"2,200",0.02%,"2,924",0.00%,"10,355,000","16,167,986"
高雄市第05選區,蔡金晏,15,57472,中國國民黨,38.59%,,否,,男,1978,18,12610974,"4,683,688",37.14%,2020000,16.02%,"5,800,000",45.99%,"90,000",0.71%,"15,201",0.12%,"2,085",0.01%,"11,915,600","12,915,354"
新北市第10選區,盧嘉辰,3,67619,中國國民黨,38.46%,,是,,男,1953,7,11213279,"2,689,800",23.99%,1900000,16.94%,"5,500,000",49.05%,"1,120,000",9.99%,"2,000",0.02%,"1,479",0.01%,"11,000,000","11,628,512"
苗栗縣第02選區,吳宜臻,7,65465,民主進步黨,44.60%,,是,,女,1970,22,9276301,"6,387,500",68.86%,1889000,20.36%,"475,000",5.12%,"160,000",1.72%,"364,301",3.93%,500,0.03%,"7,905,000","11,228,224"
苗栗縣第01選區,杜文卿,7,47837,民主進步黨,35.86%,,否,,男,1954,8,3461146,"1,261,000",36.43%,1790000,51.72%,"300,000",8.67%,"110,000",3.18%,0,0.00%,146,0.01%,"2,740,000","5,535,960"
臺東縣第01選區,陳建閣,19,23616,中國國民黨,35.81%,,否,,男,1967,15,8932603,"1,708,600",19.13%,1698800,19.02%,"5,500,000",61.57%,"6,000",0.07%,"16,000",0.18%,"3,203",0.01%,"8,618,800","9,073,493"
澎湖縣第01選區,楊曜,20,23107,民主進步黨,55.40%,*,是,社福衛環,男,1966,9,7150834,"5,434,000",75.99%,1696000,23.72%,0,0.00%,"20,000",0.28%,0,0.00%,834,0.00%,"6,576,000","7,288,657"
臺南市第04選區,陳淑慧,14,64652,中國國民黨,32.46%,,是,,女,1957,8,16873862,"1,569,230",9.30%,1680000,9.96%,"13,500,000",80.01%,"100,000",0.59%,"24,597",0.15%,35,0.00%,"16,630,000","17,650,136"
新北市第02選區,陳明義,3,56057,中國國民黨,31.25%,,否,,男,1967,15,14908123,"3,224,600",21.63%,1678000,11.26%,"10,000,000",67.08%,"2,000",0.01%,"3,300",0.02%,223,0.00%,"14,622,000","15,134,376"
山原原住民,瓦歷斯‧貝林,24,16658,民主進步黨,14.74%,,否,,男,1952,4,5217339,"1,518,000",29.10%,1555000,29.80%,"1,925,000",36.90%,"188,000",3.60%,"31,187",0.60%,152,0.00%,"4,889,000","5,425,027"
桃園市第06選區,趙正宇,4,76278,無黨籍,46.52%,*,否,交通,男,1966,9,3550319,"2,050,000",57.74%,1500000,42.25%,0,0.00%,0,0.00%,0,0.00%,319,0.01%,"3,500,000","6,695,293"
基隆市第01選區,劉文雄,1,23485,親民黨,12.36%,,否,,男,1954,7,8702245,"3,000,107",34.48%,1500000,17.24%,"4,000,000",45.97%,"200,000",2.30%,0,0.00%,"2,138",0.01%,"8,560,000","8,938,995"
山原原住民,高金素梅,24,27690,無黨團結聯盟,24.51%,*,是,教育文化,女,1965,2,1807031,"300,000",16.60%,1500000,83.01%,0,0.00%,0,0.00%,"7,000",0.39%,31,0.01%,"1,700,000","1,845,020"
新北市第08選區,江永昌,3,100543,民主進步黨,53.66%,*,否,財政,男,1969,22,10074838,"5,362,088",53.22%,1491700,14.81%,"2,850,000",28.29%,"281,000",2.79%,"89,601",0.89%,449,0.00%,"8,151,700","14,931,651"
臺北市第06選區,吳旭智,2,5962,民國黨,3.71%,,否,,男,1976,3,3669675,"2,205,453",60.10%,1400000,38.15%,0,0.00%,0,0.00%,"64,000",1.74%,222,0.01%,"2,180,000","5,350,870"
南投縣第01選區,張國鑫,9,52521,民主進步黨,45.22%,,否,,男,1961,12,3164420,"1,697,600",53.65%,1375000,43.45%,0,0.00%,0,0.00%,"91,699",2.90%,121,0.01%,"2,626,000","3,540,878"
花蓮縣第01選區,王廷升,18,51248,中國國民黨,43.58%,,是,,男,1965,8,10242283,"2,644,760",25.82%,1300000,12.69%,"6,000,000",58.58%,"285,000",2.78%,"10,050",0.10%,"2,473",0.00%,"9,775,000","14,070,277"
臺北市第06選區,范雲,2,56766,綠黨社會民主黨聯盟,35.35%,,否,,女,1968,6,6557115,"5,239,449",79.90%,1216000,18.54%,0,0.00%,0,0.00%,"100,010",1.53%,"1,656",0.00%,"4,316,000","6,741,113"
新北市第03選區,張碩文,3,13375,親民黨,7.55%,,否,,男,1971,5,7358957,"1,152,100",15.66%,1200000,16.31%,"5,000,000",67.94%,0,0.00%,"6,000",0.08%,857,0.02%,"7,250,000","7,579,000"
連江縣第01選區,陳雪生,22,2927,中國國民黨,68.06%,*,是,交通,男,1952,2,6812273,"160,000",2.35%,1150000,16.88%,"5,500,000",80.74%,0,0.00%,0,0.00%,"2,273",0.01%,"6,810,000","7,780,345"
彰化縣第03選區,陳朝容,10,19287,親民黨,11.37%,,否,,男,1956,10,3648443,"505,000",13.84%,1140000,31.25%,"2,000,000",54.82%,0,0.00%,"3,000",0.08%,443,0.00%,"3,500,000","3,651,772"
桃園市第05選區,呂玉玲,4,72965,中國國民黨,43.86%,*,是,外交國防,女,1961,13,8574500,"1,354,500",15.80%,1120000,13.06%,"6,000,000",69.97%,"100,000",1.17%,0,0.00%,0,0.01%,"8,025,300","16,301,324"
新竹市第01選區,邱顯智,5,36309,時代力量,16.55%,,否,,男,1976,15,9475771,"7,201,359",76.00%,1107921,11.69%,"200,000",2.11%,"309,000",3.26%,"655,867",6.92%,"1,624",0.02%,"6,661,921","9,704,412"
澎湖縣第01選區,陳雙全,20,16680,中國國民黨,39.99%,,否,,男,1961,6,7661132,"760,000",9.92%,1100000,14.36%,"5,500,000",71.79%,"300,000",3.92%,0,0.00%,"1,132",0.01%,"7,650,000","8,563,528"
嘉義縣第01選區,林江釧,13,62176,中國國民黨,45.43%,,否,,男,1974,3,7285881,"585,000",8.03%,1100000,15.10%,"5,500,000",75.49%,"100,000",1.37%,0,0.00%,881,0.01%,"7,250,000","7,358,160"
新竹縣第01選區,邱靖雅,6,63512,民國黨,24.96%,,否,,女,1972,8,8748070,"7,519,050",85.95%,1098000,12.55%,0,0.00%,"80,000",0.91%,"51,000",0.58%,20,0.03%,"7,152,791","12,617,353"
嘉義市第01選區,吳育仁,12,48893,中國國民黨,35.66%,,是,,男,1969,5,8908389,"2,203,388",24.73%,955000,10.72%,"5,500,000",61.74%,"250,000",2.81%,1,0.00%,0,0.00%,"8,638,888","9,797,873"
平原原住民,馬躍‧比吼,23,9009,無黨籍,9.52%,,否,,男,1969,7,3842162,"2,810,966",73.16%,901000,23.45%,0,0.00%,0,0.00%,"129,923",3.38%,273,0.00%,"1,751,388","4,374,438"
新北市第04選區,陳茂嘉,3,54487,中國國民黨,29.40%,,否,,男,1972,4,8055285,"250,000",3.10%,800000,9.93%,"7,000,000",86.90%,0,0.00%,"5,200",0.06%,85,0.01%,"8,050,000","8,055,626"
新北市第07選區,李婉鈺,3,8038,無黨籍,5.22%,,否,,女,1972,12,1850008,"950,000",51.35%,790000,42.70%,0,0.00%,"110,000",5.95%,1,0.00%,7,0.00%,"1,370,000","1,918,272"
臺北市第03選區,潘建志,2,73797,無黨籍,38.41%,,否,,男,1966,9,7808001,"6,738,569",86.30%,768000,9.84%,0,0.00%,"95,000",1.22%,"206,300",2.64%,132,0.02%,"4,872,000","8,192,953"
雲林縣第02選區,吳威志,11,46494,中國國民黨,26.16%,,否,,男,1965,7,6522911,"793,245",12.16%,710000,10.88%,"5,000,000",76.65%,0,0.00%,"19,666",0.30%,0,0.00%,"6,180,000","6,522,911"
臺南市第03選區,謝龍介,14,53705,中國國民黨,25.72%,,否,,男,1961,7,10826855,"2,611,517",24.12%,610000,5.63%,"7,500,000",69.27%,"103,000",0.95%,"1,100",0.01%,"1,238",0.02%,"10,070,000","13,121,694"
臺中市第07選區,賴義鍠,8,66181,中國國民黨,35.04%,,否,,男,1967,15,7300130,"1,198,277",16.41%,589000,8.07%,"5,500,000",75.34%,"10,000",0.14%,"1,500",0.02%,"1,353",0.00%,"6,860,000","7,423,811"
臺中市第05選區,劉國隆,8,84117,台灣團結聯盟,39.96%,,否,,男,1959,16,6186361,"4,160,600",67.25%,480500,7.77%,"1,000,000",16.16%,"491,000",7.94%,"54,000",0.87%,261,0.01%,"4,765,000","11,027,974"
臺中市第01選區,顏秋月,8,53293,中國國民黨,37.99%,,否,,女,1965,5,8402544,"960,600",11.43%,441360,5.25%,"7,000,000",83.31%,0,0.00%,0,0.00%,584,0.01%,"8,286,000","8,512,044"
新竹縣第01選區,林為洲,6,93495,中國國民黨,36.74%,*,否,司法法制,男,1961,4,5885624,"375,000",6.37%,400000,6.80%,"5,000,000",84.95%,"110,000",1.87%,0,0.00%,624,0.00%,"5,850,000","7,358,828"
新北市第06選區,康仁俊,3,4085,親民黨,2.78%,,否,,男,1973,4,7349100,"12,000",0.16%,303100,4.12%,"7,000,000",95.25%,0,0.00%,"34,000",0.46%,0,0.01%,"7,289,000","7,797,255"
嘉義縣第02選區,林于玲,13,43279,中國國民黨,31.86%,,否,,女,1963,3,5500000,"100,000",1.82%,300000,5.45%,"5,000,000",90.91%,"100,000",1.82%,0,0.00%,0,0.03%,"5,500,000","5,780,328"
臺中市第04選區,吳淑慧,8,5616,民國黨,2.94%,,否,,女,1963,2,2225226,"1,596,036",71.72%,270000,12.13%,0,0.00%,"350,000",15.73%,"9,144",0.41%,46,0.00%,"1,883,000","2,275,389"
臺中市第05選區,簡孟軒,8,14502,信心希望聯盟,6.88%,,否,,男,1985,9,2642785,"1,446,522",54.73%,266000,10.07%,"800,000",30.27%,0,0.00%,"130,196",4.93%,67,0.00%,"1,713,270","2,643,806"
金門縣第01選區,陳滄江,21,8367,民主進步黨,23.07%,,否,,男,1955,4,2567074,"2,146,293",83.61%,256000,9.97%,0,0.00%,"100,000",3.90%,"64,503",2.51%,278,0.00%,"1,707,789","2,710,586"
宜蘭縣第01選區,邱錫奎,17,19961,無黨籍,8.89%,,否,,男,1961,3,832067,"565,000",67.90%,256000,30.77%,0,0.00%,0,0.00%,"11,000",1.32%,67,0.01%,"520,000","1,707,213"
平原原住民,林琮翰,23,9118,中國國民黨,9.63%,,否,,男,1969,3,3850040,"600,000",15.58%,250000,6.49%,"3,000,000",77.92%,0,0.00%,0,0.00%,40,0.03%,"3,850,000","3,856,320"
屏東縣第03選區,黃昭展,16,41323,無黨籍,32.88%,,否,,男,1956,2,2110008,"1,852,000",87.77%,250000,11.85%,0,0.00%,0,0.00%,"8,000",0.38%,8,0.00%,"1,806,000","7,021,139"
臺中市第04選區,葉春幸,8,9782,信心希望聯盟,5.12%,,否,,女,1965,11,5167282,"4,397,400",85.10%,246500,4.77%,"500,000",9.68%,0,0.00%,"23,251",0.45%,131,0.00%,"3,564,100","4,750,616"
臺北市第07選區,呂欣潔,2,17747,綠黨社會民主黨聯盟,10.73%,,否,,女,1983,10,3242188,"2,925,999",90.25%,244500,7.54%,0,0.00%,"35,000",1.08%,"36,600",1.13%,89,0.00%,"661,000","5,014,798"
苗栗縣第01選區,康世儒,7,23134,民國黨,17.34%,,否,,男,1964,3,1658013,"1,438,000",86.73%,220000,13.27%,0,0.00%,0,0.00%,0,0.00%,13,0.02%,"1,435,000","3,323,859"
臺南市第05選區,林易煌,14,51742,中國國民黨,24.27%,,否,,男,1964,4,6750978,"449,281",6.66%,201000,2.98%,"5,500,000",81.47%,"600,000",8.89%,0,0.00%,697,0.02%,"6,508,081","8,379,540"
金門縣第01選區,吳成典,21,9405,新黨,25.93%,,否,,男,1957,2,6774600,"3,524,600",52.03%,200000,2.95%,"3,000,000",44.28%,"50,000",0.74%,0,0.00%,0,0.00%,"6,318,000","7,436,177"
桃園市第03選區,賴立竹,4,9501,無黨籍,5.48%,,否,,男,1979,1,825000,"625,000",75.76%,200000,24.24%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"800,000","843,826"
新北市第11選區,曾柏瑜,3,22487,綠黨社會民主黨聯盟,12.20%,,否,,女,1991,1,1921940,"1,264,550",65.80%,200000,10.41%,"340,000",17.69%,0,0.00%,"117,063",6.09%,327,0.00%,"1,230,000","2,429,725"
臺北市第04選區,陳尚志,2,10278,綠黨社會民主黨聯盟,4.78%,,否,,男,1968,3,2869276,"2,524,165",87.97%,170000,5.92%,0,0.00%,0,0.00%,"174,767",6.09%,344,0.01%,"970,000","2,871,837"
臺北市第06選區,龎維良,2,2963,無黨籍,1.84%,,否,,男,1974,3,699565,"513,000",73.33%,170000,24.30%,0,0.00%,0,0.00%,"16,500",2.36%,65,0.00%,"550,000","901,317"
基隆市第01選區,楊石城,1,19045,民國黨,10.03%,,否,,男,1962,2,2617115,"2,454,800",93.80%,152000,5.81%,0,0.00%,0,0.00%,"10,100",0.39%,215,0.00%,"2,300,000","2,709,345"
臺北市第08選區,苗博雅,2,21084,綠黨社會民主黨聯盟,12.48%,,否,,女,1987,2,2528631,"2,206,959",87.28%,120000,4.75%,0,0.00%,0,0.00%,"201,039",7.95%,633,0.00%,"1,291,750","2,072,465"
桃園市第01選區,王寶萱,4,15802,綠黨社會民主黨聯盟,8.68%,,否,,女,1982,2,2543315,"2,186,486",85.97%,112000,4.40%,0,0.00%,"3,000",0.12%,"241,193",9.48%,636,0.00%,"1,933,266","2,596,661"
山原原住民,林信義,24,6185,信心希望聯盟,5.47%,,否,,男,1951,3,2461000,"351,000",14.26%,110000,4.47%,"2,000,000",81.27%,0,0.00%,0,0.00%,0,0.00%,"2,350,000","2,491,000"
臺中市第02選區,紀國棟,8,17938,無黨籍,8.95%,,否,,男,1960,1,1457373,"1,254,000",86.05%,100000,6.86%,0,0.00%,"60,000",4.12%,"43,350",2.97%,23,0.00%,"1,260,000","6,230,233"
新北市第01選區,呂孫綾,3,110243,民主進步黨,53.27%,*,否,外交國防,女,1988,1,782640,"648,865",82.91%,100000,12.78%,0,0.00%,"10,000",1.28%,"23,756",3.04%,19,0.00%,"400,000","7,740,367"
新竹市第01選區,吳淑敏,5,4151,無黨籍,1.89%,,否,,女,1965,1,294501,"194,500",66.04%,100000,33.96%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,"210,000","295,169"
宜蘭縣第01選區,吳紹文,17,10730,綠黨社會民主黨聯盟,4.78%,,否,,女,1976,1,1064023,"703,100",66.08%,100000,9.40%,"200,000",18.80%,0,0.00%,"60,786",5.71%,137,0.00%,"551,000","1,076,112"
臺北市第01選區,王靜亞,2,9480,民國黨,5.02%,,否,,女,1973,3,2635907,"2,490,351",94.48%,98000,3.72%,0,0.00%,0,0.00%,"47,500",1.80%,56,0.01%,"1,372,500","4,278,725"
新北市第06選區,游信義,3,2626,信心希望聯盟,1.78%,,否,,男,1972,4,2137336,"1,603,200",75.01%,74300,3.48%,"400,000",18.71%,0,0.00%,"59,801",2.80%,35,0.01%,"1,373,800","4,727,656"
臺北市第06選區,鄭村棋,2,4927,人民民主陣線,3.06%,,否,,男,1952,2,498300,"406,500",81.58%,62000,12.44%,0,0.00%,"20,000",4.01%,"9,800",1.97%,0,0.00%,"190,000","510,354"
桃園市第03選區,陳宏瑞,4,8727,民國黨,5.03%,,否,,男,1976,2,1717041,"1,458,000",84.91%,61000,3.55%,"150,000",8.74%,0,0.00%,"48,000",2.80%,41,0.01%,"1,357,000","3,111,855"
新竹縣第01選區,卓恩宗,6,5442,信心希望聯盟,2.13%,,否,,男,1974,2,1338293,"764,259",57.11%,52000,3.89%,"500,000",37.36%,0,0.00%,"22,001",1.64%,33,0.01%,"1,000,359","1,340,142"
高雄市第08選區,劉義雄,15,2136,軍公教聯盟黨,1.14%,,否,,男,1944,1,50000,0,0.00%,50000,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"50,000","50,000"
高雄市第05選區,王新昌,15,1778,軍公教聯盟黨,1.19%,,否,,男,1961,3,730658,"283,622",38.82%,45000,6.16%,"400,000",54.75%,0,0.00%,"2,000",0.27%,36,0.00%,"400,000","833,046"
臺北市第04選區,蕭亞譚,2,13648,台灣團結聯盟,6.35%,,否,,男,1971,3,1742205,"697,000",40.01%,44000,2.53%,"1,000,000",57.40%,0,0.00%,"1,100",0.06%,105,0.00%,"1,410,000","2,999,455"
臺北市第05選區,尤瑞敏,2,4506,樹黨,2.69%,,否,,女,1964,2,280140,"219,700",78.43%,24000,8.57%,0,0.00%,"10,000",3.57%,"26,405",9.43%,35,0.00%,"135,000","462,175"
屏東縣第01選區,廖婉汝,16,43678,中國國民黨,30.00%,,否,,女,1960,1,6162689,"621,688",10.09%,24000,0.39%,"5,500,000",89.25%,"15,000",0.24%,"2,000",0.03%,1,0.00%,"6,000,000","6,272,421"
高雄市第09選區,林宗彥,15,6667,民國黨,4.00%,,否,,男,1977,1,578213,"555,200",96.02%,20000,3.46%,"3,000",0.52%,0,0.00%,0,0.00%,13,0.00%,"129,700","1,334,054"
高雄市第09選區,蔡媽福,15,1641,中華統一促進黨,0.98%,,否,,男,1949,1,110000,"90,000",81.82%,20000,18.18%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"50,000","273,383"
山原原住民,伊藍‧明基努安,24,7750,信心希望聯盟,6.86%,,否,,男,1970,1,24100,0,0.00%,20000,82.99%,0,0.00%,0,0.00%,"4,100",17.01%,0,0.00%,,"25,000"
臺北市第04選區,何偉,2,2497,無黨籍,1.16%,,否,,男,1954,1,806091,"782,900",97.12%,20000,2.48%,0,0.00%,0,0.00%,"3,000",0.37%,191,0.00%,"600,000","1,307,988"
新北市第03選區,林其瑩,3,1114,社會福利黨,0.62%,,否,,男,1958,1,149600,"119,600",79.95%,20000,13.37%,0,0.00%,0,0.00%,"10,000",6.68%,0,0.00%,"70,000","441,423"
新北市第06選區,李貴寶,3,706,民國黨,0.48%,,否,,男,1964,1,44102,"13,100",29.70%,20000,45.35%,0,0.00%,0,0.00%,"11,000",24.94%,2,0.00%,,"287,379"
新竹市第01選區,黃源甫,5,1185,無黨籍,0.54%,,否,,男,1954,1,316889,"300,000",94.67%,16888,5.33%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,"300,000","789,308"
臺南市第03選區,翁琬甯,14,796,中華統一促進黨,0.38%,,否,,女,1965,1,36000,"20,000",55.56%,16000,44.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
新北市第06選區,黃鈞民,3,473,軍公教聯盟黨,0.32%,,否,,男,1957,1,236005,"21,000",8.90%,15000,6.36%,"200,000",84.74%,0,0.00%,0,0.00%,5,0.00%,"200,000","352,411"
臺南市第04選區,楊智達,14,9075,綠黨社會民主黨聯盟,4.55%,,否,,男,1991,1,824125,"407,035",49.39%,10000,1.21%,"399,090",48.43%,0,0.00%,"8,000",0.97%,0,0.00%,"399,090","842,750"
彰化縣第02選區,溫國銘,10,5773,勞工黨,3.55%,,否,,男,1959,1,181000,"115,000",63.54%,6000,3.31%,0,0.00%,"40,000",22.10%,"20,000",11.05%,0,0.00%,"60,000","240,000"
桃園市第06選區,呂東杰,4,7374,綠黨社會民主黨聯盟,4.49%,,否,,男,1967,1,465370,"252,088",54.17%,5000,1.07%,"200,950",43.18%,0,0.00%,"7,285",1.57%,47,0.00%,"200,950","465,416"
新北市第08選區,吳金魁,3,1596,軍公教聯盟黨,0.85%,,否,,男,1954,1,215018,"10,000",4.65%,5000,2.33%,"200,000",93.02%,0,0.00%,0,0.00%,18,0.00%,"200,000","232,900"
宜蘭縣第01選區,孫博萮,17,7189,無黨籍,3.20%,,否,,女,1978,1,285522,"253,300",88.71%,1000,0.35%,0,0.00%,0,0.00%,"31,173",10.92%,49,0.00%,"85,000","300,539"
高雄市第03選區,梁蓓禎,15,11546,信心希望聯盟,6.04%,,否,,女,1980,0,890933,"174,900",19.63%,0,0.00%,"700,000",78.56%,0,0.00%,"16,000",1.79%,33,0.00%,"750,000","900,150"
高雄市第04選區,郭倫豪,15,37711,中國國民黨,23.21%,,否,,男,1975,0,5735287,"213,000",3.71%,0,0.00%,"5,500,000",95.89%,0,0.00%,"21,800",0.38%,487,0.00%,"5,650,000","6,888,041"
高雄市第08選區,張育華,15,2476,人民民主陣線,1.32%,,否,,女,1964,0,253675,"236,200",93.11%,0,0.00%,0,0.00%,"9,000",3.54%,"8,470",3.33%,5,0.00%,,"435,537"
嘉義縣第01選區,邱崑龍,13,2186,無黨籍,1.59%,,否,,男,1942,0,2000,"2,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"2,350"
嘉義縣第02選區,賴競民,13,4016,大愛憲改聯盟,2.95%,,否,,男,1983,0,10000,"10,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"10,000"
金門縣第01選區,高丹樺,21,666,軍公教聯盟黨,1.83%,,否,,女,1961,0,626044,"421,988",67.41%,0,0.00%,"200,000",31.94%,0,0.00%,"4,000",0.63%,56,0.00%,"390,000","994,819"
金門縣第01選區,洪志恒,21,647,無黨籍,1.78%,,否,,男,1968,0,242088,"242,088",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"138,888","244,807"
連江縣第01選區,林金官,22,760,無黨籍,17.67%,,否,,男,1945,0,29600,"29,600",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"284,537"
連江縣第01選區,蘇柏豪,22,506,樹黨,11.76%,,否,,男,1986,0,62500,"50,000",80.00%,0,0.00%,0,0.00%,0,0.00%,"12,500",20.00%,0,0.00%,,"269,488"
連江縣第01選區,張春寶,22,107,中華統一促進黨,2.48%,,否,,男,1956,0,950,950,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,060"
苗栗縣第02選區,戴文祥,7,3076,無黨籍,2.09%,,否,,男,1967,0,1157151,"1,132,022",97.83%,0,0.00%,0,0.00%,0,0.00%,"25,000",2.16%,129,0.00%,"591,500","1,161,382"
澎湖縣第01選區,冼義哲,20,1523,樹黨,3.65%,,否,,男,1992,0,230520,"223,490",96.95%,0,0.00%,0,0.00%,0,0.00%,"7,013",3.04%,17,0.00%,"70,000","312,824"
平原原住民,林昊宜,23,6191,親民黨,6.54%,,否,,女,1982,0,6314533,"303,000",4.80%,0,0.00%,"6,000,000",95.01%,0,0.00%,11000,0.17%,533,0.00%,"6,200,000","6,429,217"
平原原住民,達佶祐‧卡造,23,1160,軍公教聯盟黨,1.22%,,否,,男,1969,0,250000,0,0.00%,0,0.00%,"250,000",100.00%,0,0.00%,0,0.00%,0,0.00%,"250,000","267,280"
平原原住民,嘎礌‧武拜‧哈雅萬,23,804,無黨籍,0.84%,,否,,男,1974,0,6600,"6,600",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
屏東縣第03選區,許謹如,16,16097,中國國民黨,12.80%,,否,,女,1971,0,4256003,"246,000",5.78%,0,0.00%,"4,000,000",93.98%,0,0.00%,"10,000",0.23%,3,0.00%,"4,200,000","4,256,317"
山原原住民,尤命‧蘇樣,24,568,中國生產黨,0.50%,,否,,男,1962,0,2000,"2,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
山原原住民,林世偉,24,2247,無黨籍,1.98%,,否,,男,1967,0,12000,"12,000",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
臺北市第02選區,吳俊德,2,3550,信心希望聯盟,1.96%,,否,,男,1980,0,573038,"263,000",45.90%,0,0.00%,"300,000",13.46%,0,0.00%,"10,000",1.74%,38,0.00%,"500,000","1,053,948"
臺北市第03選區,黃麗香,2,607,無黨籍,0.31%,,否,,女,1960,0,26000,"14,000",53.85%,0,0.00%,0,0.00%,"12,000",46.15%,0,0.00%,0,0.00%,,"26,620"
臺北市第04選區,林少馳,2,12246,時代力量,5.70%,,否,,男,1982,0,1022455,"318,343",31.14%,0,0.00%,"700,000",24.02%,0,0.00%,"4,001",0.39%,111,0.00%,,"1,060,838"
臺北市第05選區,龔偉綸,2,1710,無黨籍,1.02%,,否,,男,1982,0,104500,"104,500",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"100,000","104,500"
臺北市第06選區,曾獻瑩,2,4826,信心希望聯盟,3.00%,,否,,男,1976,0,2555705,"1,645,654",64.39%,0,0.00%,"690,000",26.99%,0,0.00%,"219,861",8.60%,190,0.00%,"1,590,000","2,562,865"
臺北市第06選區,周芳如,2,4120,無黨籍,2.56%,,否,,女,1966,0,1656066,"1,654,066",99.88%,0,0.00%,0,0.00%,0,0.00%,"2,000",0.12%,0,0.00%,"1,260,000","1,853,423"
臺北市第06選區,陳家宏,2,1986,樹黨,1.23%,,否,,男,1983,0,143362,"142,100",99.12%,0,0.00%,0,0.00%,0,0.00%,"1,220",0.85%,0,0.00%,,"205,852"
臺北市第06選區,蔣慰慈,2,271,無黨籍,0.16%,,否,,女,1957,0,1200,"1,200",100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"200,000"
臺北市第07選區,林文傑,2,1063,無黨籍,0.64%,,否,,男,1961,0,500,500,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"4,200"
臺北市第07選區,詹益正,2,625,無黨籍,0.37%,,否,,男,1954,0,1000,1000,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,"1,000"
臺南市第01選區,黃瑞坤,14,36684,中國國民黨,22.17%,,否,,男,1970,0,5747446,"246,280",4.29%,0,0.00%,"5,500,000",95.69%,0,0.00%,500,0.00%,666,0.01%,"5,600,000","6,325,005"
臺南市第01選區,林德旺,14,8841,無黨籍,5.34%,,否,,男,1955,0,366000,366000,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"300,000","687,700"
臺南市第02選區,黃耀盛,14,35742,中國國民黨,18.66%,,否,,男,1974,0,5766442,"265,850",4.61%,0,0.00%,"5,500,000",95.37%,0,0.00%,0,0.00%,592,0.00%,"5,700,000","6,845,008"
臺南市第02選區,黃憲清,14,4604,自由台灣黨,2.40%,,否,,男,1955,0,207200,"7,200",3.47%,0,0.00%,0,0.00%,"200,000",96.52%,0,0.00%,0,0.00%,"200,000","225,000"
